,n,e,s,w,max_idx
0,0.0,0.0,0.0,0.0,n
1,0.02112086104923651,0.0,0.06363105731073306,0.06758675535755683,w
2,0.02112086104923651,0.032982336614487726,0.0,0.02217025252142595,e
3,0.0,0.0,0.0,0.0,n
4,0.0,0.0,0.7318190154435789,0.0,s
5,0.0,0.0,0.0,0.0,n
6,0.007262526741210607,0.013215122999093148,0.007507117206540154,0.0,e
7,0.0,0.0,0.0,0.0,n
8,0.0,0.0,0.0,0.0,n
9,0.18567424000000002,0.35039306465280007,0.95601953488896,0.0,s
10,0.0,0.0,0.0,0.0,n
11,0.0,0.0,0.0,0.0,n
12,0.2,0.8651658568037457,0.2892851336607319,0.12998672138147793,e
13,0.16,0.9495280182385706,0.158302654464,0.0,e
14,0.0,0.0,0.0,0.0,n
15,0.5483530035199999,0.8465476362546283,0.024877465600000002,0.12383230732139026,e
16,0.632322564329732,0.8583506468053428,0.14439058028996155,0.5385730789483391,e
17,0.462080505079563,0.7542866303878721,0.0,0.0824380915712,e
18,0.7378560000000001,0.8380699355507004,0.0,0.2711825980917987,e
19,0.9186625278236427,0.29446400000000006,0.0,0.16105283056272957,n
20,0.044158036873313294,0.047893976751435564,0.0,0.0,e
21,0.3398031391739661,0.0780277609194466,0.04405568598073124,0.08570051081275942,n
22,0.0,0.0,0.0,0.0,n
23,0.0,0.0,0.0,0.0,n
24,0.0,0.0,0.0,0.0,n
